id,company_id,review_title,review_rating,review_date
1,1399,Remote-friendly,3.4,2024-08-18 14:08:53
2,1010,Strong leadership,1.2,2023-09-11 14:08:53
3,717,Supportive team,3.1,2024-05-07 14:08:53
4,1794,Flexible working hours,4.7,2025-03-14 14:08:53
5,540,Supportive team,2.1,2025-10-22 14:08:53
6,314,Fast-paced environment,4.1,2025-10-30 14:08:53
7,340,Great place to work,1.9,2024-10-19 14:08:53
8,940,Amazing company culture,3.1,2024-08-04 14:08:53
9,644,Great place to work,4.5,2024-05-13 14:08:53
10,1401,High stress environment,3.8,2024-02-29 14:08:53
11,1592,Remote-friendly,2.4,2024-01-02 14:08:53
12,1223,Excellent benefits,2.1,2023-06-11 14:08:53
13,774,Great place to work,3.6,2022-12-10 14:08:53
14,1689,Amazing colleagues,2.1,2025-04-17 14:08:53
15,650,Excellent benefits,4.7,2025-04-13 14:08:53
16,541,Challenging projects,4.3,2022-12-15 14:08:53
17,1840,Supportive team,2.0,2025-06-06 14:08:53
18,1536,Excellent benefits,4.5,2024-01-04 14:08:53
19,1286,Amazing colleagues,2.4,2023-10-25 14:08:53
20,127,Competitive salary,1.4,2024-04-28 14:08:53
21,549,Limited growth,2.9,2022-12-09 14:08:53
22,1689,Underpaid position,1.7,2024-05-03 14:08:53
23,1690,Great place to work,1.3,2025-04-05 14:08:53
24,1266,Strong leadership,2.5,2025-04-17 14:08:53
25,437,Toxic workplace,1.1,2023-10-15 14:08:53
26,379,High stress environment,2.3,2023-03-24 14:08:53
27,673,Underpaid position,2.4,2024-04-19 14:08:53
28,761,Amazing company culture,4.3,2024-03-04 14:08:53
29,1973,Great place to work,1.7,2023-11-10 14:08:53
30,1410,Remote-friendly,2.8,2024-03-18 14:08:53
31,1177,Flexible working hours,3.8,2023-01-19 14:08:53
32,716,Learning opportunities,3.7,2024-06-27 14:08:53
33,1892,Learning opportunities,1.6,2023-03-14 14:08:53
34,1763,Underpaid position,3.9,2023-07-19 14:08:53
35,764,High stress environment,1.8,2025-05-19 14:08:53
36,929,Innovative environment,3.4,2024-09-08 14:08:53
37,602,Remote-friendly,2.6,2023-07-31 14:08:53
38,1458,Flexible working hours,1.3,2025-10-05 14:08:53
39,592,Amazing company culture,4.1,2025-04-24 14:08:53
40,1163,Remote-friendly,3.8,2023-08-31 14:08:53
41,1980,Toxic workplace,1.8,2024-07-31 14:08:53
42,316,Toxic workplace,3.5,2024-10-23 14:08:53
43,224,Career growth opportunities,1.9,2025-11-06 14:08:53
44,1886,Remote-friendly,2.1,2024-05-22 14:08:53
45,1824,Career growth opportunities,2.8,2024-06-16 14:08:53
46,879,Limited growth,1.3,2023-04-14 14:08:53
47,954,Underpaid position,2.9,2023-07-20 14:08:53
48,1961,Supportive team,3.0,2024-07-22 14:08:53
49,1944,Fast-paced environment,2.3,2024-10-21 14:08:53
50,965,Learning opportunities,1.9,2025-05-03 14:08:53
51,1486,Strong leadership,3.4,2025-08-12 14:08:53
52,960,Supportive team,2.9,2024-11-16 14:08:53
53,1244,Innovative environment,1.4,2025-10-03 14:08:53
54,508,Learning opportunities,4.5,2025-08-11 14:08:53
55,1253,Amazing colleagues,2.2,2023-12-12 14:08:53
56,532,Flexible working hours,3.6,2025-03-08 14:08:53
57,691,Poor management,3.5,2023-06-28 14:08:53
58,1885,Toxic workplace,2.8,2025-03-04 14:08:53
59,1852,Challenging projects,1.3,2025-09-27 14:08:53
60,747,Excellent benefits,1.6,2024-11-12 14:08:53
61,429,High stress environment,1.6,2025-11-12 14:08:53
62,858,Poor management,1.5,2023-10-16 14:08:53
63,1360,Learning opportunities,4.2,2023-11-28 14:08:53
64,1231,Supportive team,4.0,2024-07-12 14:08:53
65,1153,Excellent benefits,2.9,2023-12-22 14:08:53
66,836,Innovative environment,3.3,2023-10-24 14:08:53
67,346,Learning opportunities,1.1,2025-09-11 14:08:53
68,612,Great place to work,4.3,2025-09-24 14:08:53
69,32,Amazing company culture,2.8,2025-01-08 14:08:53
70,390,Fast-paced environment,1.2,2024-04-19 14:08:53
71,626,Remote-friendly,1.9,2025-01-19 14:08:53
72,986,Good work-life balance,4.2,2023-03-09 14:08:53
73,455,Innovative environment,1.4,2023-08-08 14:08:53
74,809,Challenging projects,2.0,2024-10-18 14:08:53
75,211,Underpaid position,2.6,2025-08-25 14:08:53
76,1930,Great place to work,3.6,2023-12-10 14:08:53
77,1220,Amazing colleagues,1.2,2025-08-04 14:08:53
78,968,High stress environment,4.1,2025-08-10 14:08:53
79,1694,High stress environment,3.4,2023-08-12 14:08:53
80,677,High stress environment,1.4,2025-06-14 14:08:53
81,1058,Good work-life balance,2.7,2023-09-24 14:08:53
82,1601,Innovative environment,4.8,2023-12-24 14:08:53
83,1436,Career growth opportunities,2.2,2025-08-23 14:08:53
84,560,Great place to work,4.0,2025-04-29 14:08:53
85,935,Remote-friendly,2.9,2024-06-27 14:08:53
86,541,Amazing colleagues,3.2,2023-01-27 14:08:53
87,1339,Strong leadership,1.6,2024-02-11 14:08:53
88,983,Underpaid position,2.9,2023-09-09 14:08:53
89,1889,Career growth opportunities,3.3,2025-01-30 14:08:53
90,1264,Challenging projects,3.9,2024-06-13 14:08:53
91,60,Learning opportunities,3.4,2024-10-08 14:08:53
92,1456,Great place to work,2.0,2024-12-05 14:08:53
93,1279,Great place to work,3.2,2022-12-16 14:08:53
94,59,Limited growth,2.9,2025-06-17 14:08:53
95,1341,Supportive team,1.4,2024-09-16 14:08:53
96,532,Good work-life balance,4.3,2023-11-21 14:08:53
97,732,High stress environment,4.6,2025-11-08 14:08:53
98,671,Poor management,1.4,2025-02-21 14:08:53
99,1549,Innovative environment,1.7,2024-01-15 14:08:53
100,1426,Underpaid position,2.1,2025-06-27 14:08:53
101,1560,Fast-paced environment,2.6,2023-03-14 14:08:53
102,919,High stress environment,2.8,2025-09-18 14:08:53
103,1988,Excellent benefits,4.5,2024-08-04 14:08:53
104,1696,Remote-friendly,4.6,2023-01-27 14:08:53
105,298,Learning opportunities,3.9,2025-10-26 14:08:53
106,1057,Fast-paced environment,4.7,2024-08-13 14:08:53
107,71,Great place to work,3.7,2025-09-14 14:08:53
108,34,Poor management,2.2,2023-05-27 14:08:53
109,1808,Learning opportunities,2.7,2024-03-12 14:08:53
110,792,Excellent benefits,1.8,2024-08-29 14:08:53
111,282,Supportive team,4.0,2025-09-10 14:08:53
112,1411,Amazing colleagues,3.9,2024-07-29 14:08:53
113,1682,Fast-paced environment,2.1,2025-08-14 14:08:53
114,1471,Toxic workplace,1.5,2024-03-18 14:08:53
115,890,Flexible working hours,4.6,2024-09-10 14:08:53
116,1335,Limited growth,2.7,2025-08-08 14:08:53
117,1892,Toxic workplace,3.9,2025-07-20 14:08:53
118,829,Strong leadership,2.2,2024-10-27 14:08:53
119,1634,Fast-paced environment,3.2,2023-12-20 14:08:53
120,48,Remote-friendly,4.0,2024-11-04 14:08:53
121,1807,Supportive team,3.4,2024-06-20 14:08:53
122,730,Flexible working hours,1.8,2024-04-11 14:08:53
123,1921,Good work-life balance,1.9,2025-10-25 14:08:53
124,1222,Good work-life balance,3.2,2025-08-19 14:08:53
125,569,Remote-friendly,1.5,2023-02-27 14:08:53
126,947,Supportive team,3.7,2023-12-27 14:08:53
127,1926,Fast-paced environment,4.3,2023-10-06 14:08:53
128,212,Competitive salary,3.8,2025-03-26 14:08:53
129,1725,Fast-paced environment,3.7,2024-04-16 14:08:53
130,280,Amazing colleagues,4.4,2023-01-02 14:08:53
131,394,Learning opportunities,2.0,2024-04-17 14:08:53
132,401,Poor management,5.0,2024-01-13 14:08:53
133,389,Remote-friendly,2.7,2024-03-09 14:08:53
134,1735,Great place to work,1.6,2024-12-31 14:08:53
135,1246,Innovative environment,2.1,2023-03-05 14:08:53
136,1724,Learning opportunities,1.4,2024-04-13 14:08:53
137,1138,Supportive team,1.9,2024-11-29 14:08:53
138,1805,Remote-friendly,2.1,2023-09-12 14:08:53
139,595,Challenging projects,1.2,2024-12-31 14:08:53
140,1478,Remote-friendly,4.0,2023-11-03 14:08:53
141,574,Limited growth,5.0,2025-01-17 14:08:53
142,1917,Good work-life balance,3.6,2024-02-16 14:08:53
143,1518,Remote-friendly,2.1,2025-01-10 14:08:53
144,227,Fast-paced environment,1.9,2023-09-18 14:08:53
145,1482,Amazing company culture,1.6,2023-10-21 14:08:53
146,1517,Limited growth,1.0,2023-10-19 14:08:53
147,680,Supportive team,1.5,2023-01-03 14:08:53
148,1682,Amazing company culture,3.6,2023-07-17 14:08:53
149,245,Amazing company culture,1.5,2025-08-09 14:08:53
150,927,Challenging projects,3.4,2025-06-14 14:08:53
151,1296,Innovative environment,3.2,2023-01-18 14:08:53
152,1856,Amazing company culture,2.7,2024-01-02 14:08:53
153,1841,Poor management,3.6,2023-04-17 14:08:53
154,984,Strong leadership,1.4,2023-12-27 14:08:53
155,1012,Limited growth,4.1,2023-05-09 14:08:53
156,1692,Challenging projects,3.1,2023-06-08 14:08:53
157,30,Amazing company culture,4.9,2023-10-31 14:08:53
158,1866,Excellent benefits,2.7,2022-12-31 14:08:53
159,333,Challenging projects,4.2,2023-07-22 14:08:53
160,1603,Underpaid position,4.2,2025-08-19 14:08:53
161,1753,Fast-paced environment,2.0,2023-12-03 14:08:53
162,259,Innovative environment,3.2,2025-11-07 14:08:53
163,12,Limited growth,2.7,2025-09-27 14:08:53
164,765,Fast-paced environment,2.5,2024-06-20 14:08:53
165,465,Remote-friendly,2.2,2024-08-02 14:08:53
166,1066,Strong leadership,3.2,2025-03-18 14:08:53
167,451,Great place to work,2.2,2023-10-12 14:08:53
168,231,Amazing company culture,4.3,2023-04-09 14:08:53
169,1844,Career growth opportunities,3.8,2025-06-20 14:08:53
170,1412,High stress environment,3.6,2024-10-20 14:08:53
171,1397,Career growth opportunities,3.3,2024-11-25 14:08:53
172,422,Amazing company culture,1.5,2025-05-23 14:08:53
173,834,Fast-paced environment,4.4,2024-12-11 14:08:53
174,1288,Amazing colleagues,4.3,2023-09-14 14:08:53
175,1916,Strong leadership,3.9,2023-08-12 14:08:53
176,1198,Poor management,3.2,2025-07-01 14:08:53
177,1158,Toxic workplace,1.7,2025-02-06 14:08:53
178,79,Innovative environment,4.0,2024-11-29 14:08:53
179,187,Innovative environment,1.0,2023-06-19 14:08:53
180,1214,Amazing colleagues,1.7,2023-09-04 14:08:53
181,603,Toxic workplace,3.9,2024-10-01 14:08:53
182,1796,Amazing company culture,2.0,2024-10-22 14:08:53
183,1946,Competitive salary,3.9,2024-02-02 14:08:53
184,701,High stress environment,2.0,2025-04-27 14:08:53
185,785,Remote-friendly,4.5,2022-11-25 14:08:53
186,1420,Competitive salary,3.3,2024-10-04 14:08:53
187,455,Career growth opportunities,1.7,2023-11-20 14:08:53
188,1155,Remote-friendly,4.2,2025-02-07 14:08:53
189,684,Innovative environment,5.0,2025-06-17 14:08:53
190,1410,Excellent benefits,1.8,2025-11-03 14:08:53
191,630,Challenging projects,4.5,2022-12-11 14:08:53
192,1423,Good work-life balance,1.6,2023-04-14 14:08:53
193,1795,Supportive team,1.7,2023-01-01 14:08:53
194,1549,Underpaid position,3.1,2022-11-27 14:08:53
195,639,Good work-life balance,4.4,2023-06-09 14:08:53
196,35,Innovative environment,2.9,2024-09-06 14:08:53
197,705,Fast-paced environment,2.5,2023-12-10 14:08:53
198,351,High stress environment,2.2,2022-11-18 14:08:53
199,37,Remote-friendly,2.9,2025-08-21 14:08:53
200,1099,Amazing company culture,4.8,2024-07-01 14:08:53
201,1655,Challenging projects,4.2,2025-04-12 14:08:53
202,1942,High stress environment,1.4,2025-07-20 14:08:53
203,1421,Fast-paced environment,4.2,2023-02-02 14:08:53
204,731,Competitive salary,4.1,2024-03-13 14:08:53
205,876,Toxic workplace,1.4,2025-01-22 14:08:53
206,85,Career growth opportunities,3.8,2023-03-10 14:08:53
207,1228,High stress environment,4.4,2024-07-05 14:08:53
