id,industry_name
1,Technology
2,Healthcare
3,Finance
4,Manufacturing
5,Retail
6,Education
7,Consulting
8,Real Estate
9,Transportation
10,Energy
11,Telecommunications
12,Media
13,Insurance
14,Pharmaceutical
15,Automotive
16,Aerospace
17,Construction
18,Food & Beverage
19,Gaming
20,E-commerce
21,Banking
22,Government
23,Non-profit
24,Agriculture
25,Mining
26,Entertainment
27,Fashion
28,Sports
29,Tourism
30,Biotechnology
31,Chemical
32,Textiles
33,Furniture
34,Paper
35,Metals
36,Electronics
37,Plastics
38,Ceramics
39,Glass
40,Rubber
41,Leather
42,Wood
43,Publishing
44,Broadcasting
45,Film
46,Music
47,Art
48,Design
49,Architecture
50,Engineering
