id,job_id,benefit_name
1,11452,Vision Insurance
2,3011,Health Insurance
3,123,Tuition Reimbursement
4,2194,Vision Insurance
5,8480,Dental Insurance
6,6742,Paternity Leave
7,8151,Maternity Leave
8,12591,Free Meals
9,12290,Paternity Leave
10,5716,Health Insurance
11,5870,Wellness Program
12,19871,Professional Development
13,9516,Childcare
14,14580,Maternity Leave
15,11144,Life Insurance
16,6193,Paid Time Off
17,8741,Transportation Allowance
18,8088,Tuition Reimbursement
19,2958,Tuition Reimbursement
20,4623,Free Parking
21,782,Remote Work
22,17614,Flexible Hours
23,9643,Mental Health Support
24,14789,Paid Time Off
25,14845,Vision Insurance
26,5114,Free Meals
27,13599,Dental Insurance
28,8976,Free Parking
29,10735,Flexible Hours
30,14405,Employee Discounts
31,19196,Professional Development
32,11393,Employee Discounts
33,19843,Stock Options
34,19706,Paternity Leave
35,3660,Tuition Reimbursement
36,1125,Flexible Hours
37,11208,Free Parking
38,10451,Paternity Leave
39,6152,Employee Discounts
40,2431,Career Coaching
41,16891,Professional Development
42,3731,401k
43,10019,Maternity Leave
44,8986,Health Insurance
45,16120,Health Insurance
46,107,Wellness Program
47,6,Employee Discounts
48,13,Health Insurance
49,925,Free Meals
50,18975,Mental Health Support
51,6922,Childcare
52,17950,Dental Insurance
53,19943,Mental Health Support
54,7199,Stock Options
55,11222,Maternity Leave
56,5094,Remote Work
57,6255,Vision Insurance
58,17104,Mental Health Support
59,14809,Paid Time Off
60,11503,Employee Discounts
61,9861,Health Insurance
62,3382,Health Insurance
63,11183,Free Meals
64,15458,Paid Time Off
65,15901,401k
66,11771,Childcare
67,17224,Laptop Provided
68,6680,Mental Health Support
69,8436,Career Coaching
70,15889,Gym Membership
71,3463,Gym Membership
72,18018,Free Meals
73,4939,Gym Membership
74,9163,Career Coaching
75,13089,Professional Development
76,2494,Free Parking
77,4070,Childcare
78,2520,Maternity Leave
79,1698,Vision Insurance
80,2694,Professional Development
81,14555,Health Insurance
82,4269,Tuition Reimbursement
83,5149,Professional Development
84,14436,Gym Membership
85,14964,Professional Development
86,575,Paid Time Off
87,11734,401k
88,7250,Vision Insurance
89,17561,Life Insurance
90,675,Maternity Leave
91,1376,Tuition Reimbursement
92,9310,Free Parking
93,4486,Tuition Reimbursement
94,17059,Mental Health Support
95,12219,Paternity Leave
96,6113,Maternity Leave
97,6282,Free Parking
98,12369,Free Parking
99,8253,Career Coaching
100,12844,Maternity Leave
101,14040,Phone Allowance
102,272,Vision Insurance
103,8347,Childcare
104,18706,Free Meals
105,17831,Remote Work
106,16453,Employee Discounts
107,5759,Employee Discounts
108,10189,Free Meals
109,19045,Flexible Hours
110,9217,Paid Time Off
111,17391,Employee Discounts
112,14245,Free Meals
113,14428,Vision Insurance
114,19671,Vision Insurance
115,5960,Gym Membership
116,17571,Employee Discounts
117,19393,Dental Insurance
118,4817,Stock Options
119,5659,Flexible Hours
120,552,Health Insurance
121,13791,Professional Development
122,204,Phone Allowance
123,17952,Free Parking
124,16978,Laptop Provided
125,14518,Flexible Hours
126,10191,Remote Work
127,26,Remote Work
128,9514,Health Insurance
129,15083,Health Insurance
