job_id,skill_id
14889,198
3689,96
9123,29
11794,156
16266,1
11553,66
2789,57
10002,90
7475,10
9775,185
11712,166
7457,62
10311,112
13781,182
12074,117
4817,110
6108,91
13524,44
13017,92
17629,86
18728,100
4836,170
10811,101
1461,131
2959,2
18423,83
14467,142
16504,13
314,79
11524,151
16456,190
16754,150
6527,71
2628,154
19609,102
2094,115
13466,74
8754,61
4256,156
186,121
13345,83
18361,34
8195,182
9380,189
17438,152
16690,125
15341,188
8817,146
18405,88
8386,192
17609,91
1875,103
15210,172
16824,18
8439,76
14252,69
19133,76
11531,152
19493,39
8596,141
11314,153
3993,11
14260,22
11268,170
7468,72
7228,60
13221,99
15562,27
5737,142
17369,21
1560,176
14385,147
2399,5
17120,65
16757,35
9907,28
16288,145
9243,97
12245,48
5927,90
12568,102
5425,157
11966,45
6800,194
105,177
11957,57
223,89
2808,60
5762,127
360,129
16064,48
10632,174
9890,103
13009,40
5414,60
1333,139
16856,100
3784,86
16971,146
5268,85
1541,122
2991,49
6162,52
19485,193
11128,154
15139,82
4198,56
11838,195
14876,149
12583,95
19051,54
2657,79
19738,23
15103,14
15135,122
11737,166
15335,187
9199,10
7186,100
116,47
9958,37
1073,20
2855,152
14341,173
1030,35
10446,193
12781,37
7126,98
10021,12
13412,189
6781,132
13475,53
13891,3
12217,124
9800,122
1339,197
14428,106
15500,13
8121,22
1289,12
10784,31
3690,22
5629,126
14960,112
3490,52
16694,104
14905,37
19073,58
18293,168
6561,175
11730,142
14089,88
11815,138
2172,34
16637,69
17562,172
10732,184
11004,9
10682,111
8155,96
7363,2
13492,114
17138,113
7277,144
9639,19
2521,7
14397,52
10029,38
19430,71
12400,197
9442,193
2543,190
3052,126
3737,60
18612,49
17832,101
7047,15
16490,173
11843,129
4461,192
11480,148
4707,159
17094,37
17109,31
5362,37
17063,17
14069,189
3819,174
17420,43
6957,53
5408,146
8446,169
3733,148
9106,99
67,180
158,123
18150,167
10841,28
17150,194
3467,84
14903,186
15904,93
1123,70
2828,28
461,84
218,128
17050,56
3839,44
12938,155
5532,36
6491,148
13906,105
17920,124
4275,149
6875,105
8104,193
4065,187
15729,132
14329,140
1868,141
16609,180
17152,144
4181,167
6978,157
1816,186
1594,91
4777,41
7698,132
18754,41
9642,19
5264,164
12194,195
13733,50
15066,65
15830,104
4617,111
13707,18
16728,77
1455,192
16339,179
1557,138
16160,172
6357,118
2214,25
12518,19
16049,66
3904,63
11939,178
5079,115
171,5
17286,194
15588,131
272,55
6002,73
228,175
19066,124
3580,108
6083,136
7846,71
16241,87
10207,137
664,2
4850,157
3022,70
14167,128
5402,105
495,139
18217,108
1823,20
12775,7
15694,35
5912,54
16821,198
19521,115
1205,140
11076,37
1332,161
19994,181
16775,28
3778,163
10100,159
1658,165
1493,24
18014,115
2912,16
19800,30
5953,163
13720,188
14383,102
2388,140
3811,143
5424,135
6258,171
2818,4
6749,26
18784,53
19561,190
18281,161
2424,4
7929,83
15804,80
3765,47
7020,17
10761,169
16284,115
32,125
7415,60
97,20
5997,142
16052,162
4550,158
2312,64
3616,187
1327,57
3046,99
6359,7
19648,140
9294,190
1789,129
13857,53
1330,189
19514,161
8037,103
9244,171
10330,144
18092,88
14034,152
6362,71
8557,10
14375,129
17634,84
17566,108
3542,179
17491,154
8177,31
18513,40
19171,52
2572,149
16687,34
14015,167
6907,11
6191,87
19639,146
8509,175
174,176
3552,40
7486,112
3192,109
12916,10
6714,57
8181,145
14777,173
18949,176
468,197
10241,173
17285,129
13391,24
11081,108
10881,52
3306,36
6707,76
2510,85
15925,123
11123,191
220,29
8397,174
8796,32
13481,145
18663,57
1268,116
16169,179
2566,43
6506,45
3872,43
14397,93
1254,147
4563,70
9612,130
16358,165
6689,124
6062,38
15002,122
1397,165
3012,84
11905,159
1180,14
10559,52
16099,109
3253,59
1050,189
18268,27
14281,113
16032,171
4184,183
809,182
16492,2
12706,70
18914,42
15795,25
12476,119
5039,181
19858,108
18817,31
7320,195
12660,13
18474,82
6855,157
6851,69
19805,48
6982,2
12921,121
19673,75
13639,116
6980,52
2106,100
15780,20
18926,138
17920,79
12925,107
3762,60
7915,189
18829,35
13701,39
17130,154
3995,184
17007,51
15653,139
11015,48
12453,72
4376,166
12046,172
8258,95
5924,180
11671,35
8328,19
12512,20
12682,200
12673,195
7963,129
15960,48
7702,146
11766,22
15853,177
8826,82
2243,137
8709,136
2529,61
4804,191
14184,119
6655,54
8224,74
4091,108
17742,54
14529,144
19329,38
12930,93
9409,155
11906,41
16082,150
15910,29
6629,45
994,176
6626,18
7332,60
3660,1
8047,54
14819,64
7612,198
12608,23
19251,20
7109,80
7622,31
14101,154
3838,184
15720,56
6243,150
17534,137
7806,43
11312,83
1754,26
2475,142
12095,40
17859,117
15985,100
7709,129
4476,85
6609,200
1133,121
15293,175
13942,1
3208,59
5505,107
17571,70
7637,28
2591,161
9008,153
458,108
1418,69
12419,120
8037,45
6383,106
15468,6
12144,64
13654,183
3547,178
623,86
3749,165
12057,24
6511,67
2031,118
4745,136
5560,91
10907,174
2652,80
12670,164
18649,12
13330,24
10953,171
7808,50
12888,30
6313,59
3222,117
5902,86
6602,53
16304,164
3768,145
2039,39
4549,167
7078,52
6217,72
17879,68
14312,5
2024,109
1296,54
52,3
17536,100
7353,132
13670,67
19256,163
18947,197
5545,128
4705,68
4318,166
17229,175
19922,179
18039,27
16385,95
12784,14
19801,27
17804,155
8772,67
5888,7
12972,146
4512,164
11855,99
11966,33
19724,27
