id,job_title,company_id,location_id,employment_type_id,salary_range_id,job_description,listing_date
1,Machine Learning Engineer,738,985,4,15,Job description for Machine Learning Engineer position at company 738,2025-02-06 14:08:53
2,Software Engineer,1488,36,3,20,Job description for Software Engineer position at company 1488,2022-12-19 14:08:53
3,Financial Analyst,1824,310,1,10,Job description for Financial Analyst position at company 1824,2024-02-13 14:08:53
4,Backend Developer,1753,323,1,9,Job description for Backend Developer position at company 1753,2025-09-28 14:08:53
5,HR Manager,194,39,4,12,Job description for HR Manager position at company 194,2023-10-01 14:08:53
6,Financial Analyst,543,376,5,8,Job description for Financial Analyst position at company 543,2024-03-07 14:08:53
7,Machine Learning Engineer,1662,308,1,19,Job description for Machine Learning Engineer position at company 1662,2025-02-11 14:08:53
8,Backend Developer,1504,80,3,16,Job description for Backend Developer position at company 1504,2023-11-05 14:08:53
9,Research Scientist,1692,921,5,4,Job description for Research Scientist position at company 1692,2024-07-23 14:08:53
10,Product Manager,1497,828,5,13,Job description for Product Manager position at company 1497,2023-04-25 14:08:53
11,Sales Representative,1888,790,3,12,Job description for Sales Representative position at company 1888,2025-04-23 14:08:53
12,Network Engineer,1906,889,1,8,Job description for Network Engineer position at company 1906,2022-12-09 14:08:53
13,Database Administrator,111,313,5,2,Job description for Database Administrator position at company 111,2024-08-30 14:08:53
14,HR Manager,670,515,2,5,Job description for HR Manager position at company 670,2023-02-27 14:08:53
15,System Administrator,1989,457,5,19,Job description for System Administrator position at company 1989,2025-09-14 14:08:53
16,Business Analyst,455,443,3,13,Job description for Business Analyst position at company 455,2023-09-15 14:08:53
17,Financial Analyst,689,85,4,19,Job description for Financial Analyst position at company 689,2023-02-24 14:08:53
18,System Administrator,538,88,4,17,Job description for System Administrator position at company 538,2025-04-23 14:08:53
19,Financial Analyst,1561,139,4,18,Job description for Financial Analyst position at company 1561,2023-12-26 14:08:53
20,Research Scientist,810,668,5,7,Job description for Research Scientist position at company 810,2025-10-24 14:08:53
21,Data Engineer,497,74,3,14,Job description for Data Engineer position at company 497,2024-09-08 14:08:53
22,Business Analyst,231,688,4,14,Job description for Business Analyst position at company 231,2024-12-03 14:08:53
23,Technical Writer,391,329,3,20,Job description for Technical Writer position at company 391,2023-01-04 14:08:53
24,QA Engineer,347,359,5,15,Job description for QA Engineer position at company 347,2023-09-10 14:08:53
25,Web Developer,92,947,2,7,Job description for Web Developer position at company 92,2024-12-20 14:08:53
26,HR Manager,1552,746,1,4,Job description for HR Manager position at company 1552,2023-03-07 14:08:53
27,Data Engineer,1944,636,2,10,Job description for Data Engineer position at company 1944,2022-12-14 14:08:53
28,Scrum Master,1421,824,1,10,Job description for Scrum Master position at company 1421,2025-05-25 14:08:53
29,AI Engineer,47,340,2,18,Job description for AI Engineer position at company 47,2024-01-23 14:08:53
30,Backend Developer,1120,536,3,18,Job description for Backend Developer position at company 1120,2025-08-01 14:08:53
31,HR Manager,1424,716,1,13,Job description for HR Manager position at company 1424,2025-10-29 14:08:53
32,Product Manager,524,175,1,10,Job description for Product Manager position at company 524,2024-01-01 14:08:53
33,Cloud Architect,109,477,1,3,Job description for Cloud Architect position at company 109,2025-01-19 14:08:53
34,Cloud Architect,1358,873,3,4,Job description for Cloud Architect position at company 1358,2022-12-25 14:08:53
35,Cybersecurity Specialist,1777,905,4,8,Job description for Cybersecurity Specialist position at company 1777,2025-01-03 14:08:53
36,DevOps Engineer,1852,324,4,20,Job description for DevOps Engineer position at company 1852,2025-11-08 14:08:53
37,Business Analyst,382,204,5,15,Job description for Business Analyst position at company 382,2022-12-30 14:08:53
38,Product Manager,507,945,5,10,Job description for Product Manager position at company 507,2024-09-29 14:08:53
39,Research Scientist,806,763,2,1,Job description for Research Scientist position at company 806,2024-10-26 14:08:53
40,Technical Writer,728,641,3,8,Job description for Technical Writer position at company 728,2025-09-07 14:08:53
41,Cloud Architect,1663,64,3,13,Job description for Cloud Architect position at company 1663,2023-01-15 14:08:53
42,Cloud Architect,462,156,3,13,Job description for Cloud Architect position at company 462,2023-08-24 14:08:53
43,Business Analyst,1495,392,5,20,Job description for Business Analyst position at company 1495,2024-02-24 14:08:53
44,Network Engineer,493,587,2,14,Job description for Network Engineer position at company 493,2024-08-16 14:08:53
45,Scrum Master,920,556,2,7,Job description for Scrum Master position at company 920,2023-08-26 14:08:53
46,Frontend Developer,1767,142,3,17,Job description for Frontend Developer position at company 1767,2023-08-19 14:08:53
47,Mobile Developer,1862,1000,2,19,Job description for Mobile Developer position at company 1862,2023-10-05 14:08:53
48,Project Manager,139,571,5,4,Job description for Project Manager position at company 139,2023-11-28 14:08:53
49,Project Manager,1720,901,2,1,Job description for Project Manager position at company 1720,2024-08-29 14:08:53
50,Network Engineer,1969,422,3,15,Job description for Network Engineer position at company 1969,2024-05-29 14:08:53
51,HR Manager,1596,193,1,5,Job description for HR Manager position at company 1596,2023-11-29 14:08:53
52,Data Scientist,1562,627,5,9,Job description for Data Scientist position at company 1562,2024-03-02 14:08:53
53,Full Stack Developer,473,704,1,12,Job description for Full Stack Developer position at company 473,2023-04-27 14:08:53
54,AI Engineer,275,515,5,16,Job description for AI Engineer position at company 275,2024-12-20 14:08:53
55,Customer Success Manager,1746,397,4,16,Job description for Customer Success Manager position at company 1746,2023-08-24 14:08:53
56,Operations Manager,396,232,1,14,Job description for Operations Manager position at company 396,2022-12-16 14:08:53
57,Cloud Architect,1947,423,2,7,Job description for Cloud Architect position at company 1947,2024-01-08 14:08:53
58,Marketing Manager,363,950,4,20,Job description for Marketing Manager position at company 363,2025-08-15 14:08:53
59,Project Manager,1776,469,2,14,Job description for Project Manager position at company 1776,2025-02-22 14:08:53
60,Product Manager,1246,753,4,11,Job description for Product Manager position at company 1246,2025-01-31 14:08:53
61,Product Manager,1067,112,4,15,Job description for Product Manager position at company 1067,2023-02-10 14:08:53
62,Data Engineer,1063,551,4,2,Job description for Data Engineer position at company 1063,2025-01-17 14:08:53
63,Sales Representative,389,299,4,13,Job description for Sales Representative position at company 389,2024-07-31 14:08:53
64,Cybersecurity Specialist,945,171,4,10,Job description for Cybersecurity Specialist position at company 945,2023-03-07 14:08:53
65,HR Manager,950,850,4,3,Job description for HR Manager position at company 950,2025-09-06 14:08:53
66,UX Designer,369,798,5,18,Job description for UX Designer position at company 369,2023-08-20 14:08:53
67,System Administrator,847,332,4,1,Job description for System Administrator position at company 847,2023-11-17 14:08:53
68,Game Developer,1209,919,2,15,Job description for Game Developer position at company 1209,2023-05-19 14:08:53
69,Machine Learning Engineer,664,709,2,4,Job description for Machine Learning Engineer position at company 664,2023-05-21 14:08:53
70,UX Designer,1447,461,3,3,Job description for UX Designer position at company 1447,2025-10-23 14:08:53
71,Database Administrator,1489,811,5,20,Job description for Database Administrator position at company 1489,2023-10-09 14:08:53
72,Database Administrator,1128,390,1,6,Job description for Database Administrator position at company 1128,2024-10-02 14:08:53
73,HR Manager,333,890,2,6,Job description for HR Manager position at company 333,2023-03-01 14:08:53
74,Network Engineer,631,317,4,10,Job description for Network Engineer position at company 631,2023-11-21 14:08:53
75,UX Designer,1841,135,2,1,Job description for UX Designer position at company 1841,2024-04-17 14:08:53
76,Software Engineer,940,510,4,18,Job description for Software Engineer position at company 940,2022-11-27 14:08:53
77,Research Scientist,488,223,5,16,Job description for Research Scientist position at company 488,2025-06-02 14:08:53
78,Network Engineer,905,82,5,20,Job description for Network Engineer position at company 905,2022-11-29 14:08:53
79,Data Engineer,1807,561,3,20,Job description for Data Engineer position at company 1807,2024-01-15 14:08:53
80,Sales Representative,379,152,1,12,Job description for Sales Representative position at company 379,2023-01-30 14:08:53
81,HR Manager,1749,34,5,20,Job description for HR Manager position at company 1749,2024-07-19 14:08:53
82,Scrum Master,1885,90,1,4,Job description for Scrum Master position at company 1885,2025-03-18 14:08:53
83,Customer Success Manager,331,689,3,20,Job description for Customer Success Manager position at company 331,2023-11-14 14:08:53
84,Game Developer,1535,593,3,2,Job description for Game Developer position at company 1535,2023-05-25 14:08:53
85,QA Engineer,662,378,4,3,Job description for QA Engineer position at company 662,2025-04-09 14:08:53
86,Marketing Manager,600,483,2,4,Job description for Marketing Manager position at company 600,2024-05-31 14:08:53
87,Scrum Master,1080,424,5,7,Job description for Scrum Master position at company 1080,2024-01-18 14:08:53
88,Sales Representative,224,586,5,3,Job description for Sales Representative position at company 224,2025-08-02 14:08:53
89,Cybersecurity Specialist,875,624,3,9,Job description for Cybersecurity Specialist position at company 875,2025-10-27 14:08:53
90,Technical Writer,1899,133,5,19,Job description for Technical Writer position at company 1899,2025-08-28 14:08:53
91,Research Scientist,1009,828,2,20,Job description for Research Scientist position at company 1009,2024-03-06 14:08:53
