id,skill_name
1,Python
2,JavaScript
3,Java
4,C++
5,SQL
6,React
7,Angular
8,Vue.js
9,Node.js
10,Django
11,Flask
12,Spring Boot
13,Docker
14,Kubernetes
15,AWS
16,Azure
17,GCP
18,Git
19,Jenkins
20,Terraform
21,MongoDB
22,PostgreSQL
23,MySQL
24,Redis
25,Elasticsearch
26,Kafka
27,RabbitMQ
28,GraphQL
29,REST APIs
30,Microservices
31,Agile
32,Scrum
33,DevOps
34,CI/CD
35,Linux
36,Bash
37,PowerShell
38,Tableau
39,Power BI
40,Excel
41,Pandas
42,NumPy
43,TensorFlow
44,PyTorch
45,Machine Learning
46,Data Science
47,Big Data
48,Spark
49,Hadoop
50,R
51,Stata
52,SAS
53,Salesforce
54,SAP
55,Oracle
56,Workday
57,Jira
58,Confluence
59,Slack
60,Teams
61,Photoshop
62,Figma
63,Sketch
64,InDesign
65,AutoCAD
66,SolidWorks
67,MATLAB
68,Labview
69,Unity
70,Unreal Engine
71,C#
72,.NET
73,PHP
74,Ruby
75,Go
76,Rust
77,Swift
78,Kotlin
79,Flutter
80,React Native
81,Xamarin
82,Ionic
83,Cordova
84,Electron
85,Vue
86,Svelte
87,Next.js
88,Nuxt.js
89,Gatsby
90,Laravel
91,Rails
92,Express
93,FastAPI
94,Sinatra
95,Koa
96,Hapi
97,Skill 97
98,Skill 98
99,Skill 99
100,Skill 100
101,Skill 101
102,Skill 102
103,Skill 103
104,Skill 104
105,Skill 105
106,Skill 106
107,Skill 107
108,Skill 108
109,Skill 109
110,Skill 110
111,Skill 111
112,Skill 112
113,Skill 113
114,Skill 114
115,Skill 115
116,Skill 116
117,Skill 117
118,Skill 118
119,Skill 119
120,Skill 120
121,Skill 121
122,Skill 122
123,Skill 123
124,Skill 124
125,Skill 125
126,Skill 126
127,Skill 127
128,Skill 128
129,Skill 129
130,Skill 130
131,Skill 131
132,Skill 132
133,Skill 133
134,Skill 134
135,Skill 135
136,Skill 136
137,Skill 137
138,Skill 138
139,Skill 139
140,Skill 140
141,Skill 141
142,Skill 142
143,Skill 143
144,Skill 144
145,Skill 145
146,Skill 146
147,Skill 147
148,Skill 148
149,Skill 149
150,Skill 150
151,Skill 151
152,Skill 152
153,Skill 153
154,Skill 154
155,Skill 155
156,Skill 156
157,Skill 157
158,Skill 158
159,Skill 159
160,Skill 160
161,Skill 161
162,Skill 162
163,Skill 163
164,Skill 164
165,Skill 165
166,Skill 166
167,Skill 167
168,Skill 168
169,Skill 169
170,Skill 170
171,Skill 171
172,Skill 172
173,Skill 173
174,Skill 174
175,Skill 175
176,Skill 176
177,Skill 177
178,Skill 178
179,Skill 179
180,Skill 180
181,Skill 181
182,Skill 182
183,Skill 183
184,Skill 184
185,Skill 185
186,Skill 186
187,Skill 187
188,Skill 188
189,Skill 189
190,Skill 190
191,Skill 191
192,Skill 192
193,Skill 193
194,Skill 194
195,Skill 195
196,Skill 196
197,Skill 197
198,Skill 198
199,Skill 199
200,Skill 200
